Procesos,Individuos,Posiciones,Repeticiones,Tiempo Promedio,Tiempo Promedio std,Tiempo Promedio Calcular Frecuencias,Tiempo Promedio Calcular Frecuencias std,Tiempo Promedio Calcular Hoplotipo,Tiempo Promedio Calcular Hoplotipo std,speed_up_total,speed_up_frecuencias,speed_up_haplo,eficiencia_total,eficiencia_frecuencias,eficiencia_haplo
8,500,6,10,0.1129401862854138,0.0068748557634658,0.0331027269363403,0.0034489286886075,0.0422873497009277,0.0054429749587287,2.2624524491378213,1.936896305104547,3.668126360181773,28.280655614222766,24.211203813806836,45.85157950227216
8,500,8,10,0.2153107185615226,0.0069548255308924,0.0595147609710693,0.0051346973501822,0.1159242630004882,0.0079122274632978,3.8512915674322015,3.553455010155315,5.011706390666316,48.14114459290252,44.41818762694144,62.64632988332895
8,500,10,10,0.568247929145582,0.0097512662722571,0.16365807056427,0.0069762959276239,0.3658271312713623,0.0072862641119723,5.7323415217051865,5.178554399512727,6.4888506847867,71.65426902131483,64.73192999390909,81.11063355983374
8,500,12,10,2.068669154681265,0.1047218490532225,0.5996549844741821,0.053505807308697,1.430264663696289,0.0761081528584567,6.406904266911375,5.836411862216717,6.7931908351920995,80.08630333639218,72.95514827770896,84.91488543990124
8,1000,4,10,0.1093923195730894,0.0041922081707743,0.0261463165283203,0.0020333208647801,0.0314167022705078,0.0032186936071871,1.5084987729825605,1.2785349279993,2.579090119844091,18.856234662282006,15.98168659999125,32.23862649805114
8,1000,6,10,0.1631107551045715,0.0073670750363473,0.0450170278549194,0.0051464921034893,0.0677565813064575,0.0049116775900838,2.747015596877911,2.44118929047518,4.247525525903819,34.337694960973884,30.51486613093975,53.09406907379773
8,1000,8,10,0.3558056791312992,0.0127923530851411,0.1065210342407226,0.0116595869161887,0.1983335971832275,0.0053200876895281,4.554858587574086,3.90897834646727,5.812630293576628,56.93573234467607,48.862229330840876,72.65787866970786
8,1000,10,10,1.061001795064658,0.0147594869661808,0.2950369119644165,0.0085908878204829,0.7148880004882813,0.0168352562834455,6.142103591722671,5.73928190035431,6.674934606378959,76.77629489653339,71.74102375442888,83.43668257973698
8,1000,12,10,4.000953506003134,0.0479962088791479,1.0970762491226196,0.0331027455964406,2.854183530807495,0.0769098137642105,6.658398083795605,6.383935481679524,6.861756079328773,83.22997604744506,79.79919352099405,85.77195099160966
8,1500,4,10,0.1457459869561717,0.0070498292470723,0.031386375427246,0.0036368069226116,0.0419931411743164,0.005736001988881,1.6705233141400113,1.4736326760049874,3.038698816796492,20.881541426750143,18.420408450062343,37.98373520995615
